Course ID,Date Added,Collection Language,Course Title,Category,Subcategory
3977294,2021-12-31,EN,Decision Modeling and Risk Analysis with Excel,Office Productivity,Spreadsheets
4437934,2021-12-30,EN,Project Kickoff Meetings: How to Lead them Effectively,Leadership & Management,Management
922278,2021-12-30,EN,Microsoft Word 2016: Beginner and Intermediate Training,Office Productivity,Word Processing
4281490,2021-12-30,JP,【超初心者用】いきなりPhotoshop！写真加工「切り抜き＆合成フォトレタッチ」マスター講座,Design,Design Tools
3314128,2021-12-30,JP,【続】Microsoft - Excel Power Pivot 入門講座 DAX-TABLE FUNCTION特訓編,Office Productivity,Spreadsheets
4400960,2021-12-30,JP,オブジェクト指向の原則３：依存関係逆転の原則とインタフェース分離の原則,Development,Programming Languages
4207716,2021-12-30,JP,Flutter開発で最低限知っておきたいDartの基礎知識,Development,Programming Languages
4071374,2021-12-30,JP,C#で帳票ライブラリを使って印刷プログラムを作る方法,Development,Programming Languages
2937758,2021-12-30,JP,初心者必見!! プロが使うPhotoshopに匹敵するフリーの画像編集ソフトGIMPが基礎から簡単に学べる！,Design,Design Tools
4333706,2021-12-30,JP,【Magenta+Colab】AIによる作曲を学ぼう！ -ディープラーニングで自動生成する音楽データ-,Data Science,Machine Learning
4030326,2021-12-30,JP,みんなのデータサイエンス講座 -Python、Colab、Kaggleで基礎から学び親しむ「データ」の世界-,Data Science,Machine Learning
3540906,2021-12-30,JP,【Blender 2.9】初めてのグリースペンシル｜基本的な使い方からイラスト・アニメーションまで (2D&3D),Design,3D & Animation
2220570,2021-12-30,JP,超初心者でも大丈夫！！！自分で作るホームページ制作・ウェブサイト作成講座（WordPress講座）,Development,Web Development
2336826,2021-12-30,JP,これから始める「Googleスプレッドシート」基礎講座,Office Productivity,Spreadsheets
3226503,2021-12-30,JP,【初心者歓迎！】ゼロからC言語を覚えてWinAPIで画像ビューワーを作成しよう,Development,Programming Languages
3963280,2021-12-30,JP,【Indesign 2021】初心者が「仕事で通用する人材」になる〜業界の専門知識も学べる、仕事で使えるインデザイン講座,Design,Design Tools
3959782,2021-12-30,JP,【新版】Springシリーズ① Spring入門-お問い合わせ機能の開発-,Development,Web Development
4159388,2021-12-30,JP,【本質からわかる！】現場で使えるJavaプログラミングマスター講座：詳説・基礎文法編,Development,Programming Languages
4367022,2021-12-30,JP,【TOEIC®リスニング集中講座】この「英語の音ルール」で英語が聞こえる！（＋PART2の解き方解説付き）,Personal Development,Language Learning
4294622,2021-12-30,JP,5つの活用事例から40のスキルが身につく、Google Apps Script 開発入門【ES2015(ES6)対応】,Office Productivity,Email & Productivity
1282692,2021-12-30,JP,超軟 やさしい内部監査入門,Workplace & Human Resources,Compliance
4383106,2021-12-30,JP,ノーコードで超速WEB制作 STUDIO学習完全パック（初級〜上級編）,Development,Web Development
3671474,2021-12-30,JP,Kubernetes入門,Development,Development Tools
3591488,2021-12-30,JP,もう知識だけなんて言わせない！手を動かせ！体で覚えろ！「ハンズオンで学ぶCisco ルーティングプロトコル」,IT Operations,Network & Security
2754368,2021-12-30,JP,【1時間速習】イメージでわかる！C言語ソケット通信プログラミング,Development,Programming Languages
796730,2021-12-30,JP,サイバーセキュリティ～ハッキングと防御 ビギナー編,IT Operations,Network & Security
2796032,2021-12-30,JP,【中小企業診断士/MBAの実践的ノウハウ決定版！】補助金・助成金申請に利用できる新規事業計画書の作成方法,Leadership & Management,Strategy
3447472,2021-12-30,JP,シナリオプランニング活用講座【基礎編】〜不確実性を機会に変えるための思考法,Leadership & Management,Strategy
4007870,2021-12-30,JP,Jw_cadの使い方① ゼロからはじめる初心者のためのJwcad講座 一緒に家具平面図と間取り図をかいてみよう！,Design,3D & Animation
4255986,2021-12-30,JP,英語スピーキングの基礎力をつける、全く新しい、ネタが途切れない独り言英語講座,Personal Development,Language Learning
3512288,2021-12-30,JP,Notionの使い方 - 基本操作マニュアル,Office Productivity,Email & Productivity
3778400,2021-12-30,JP,これ１本ですべてを網羅！経理部に配属された若手社員が身につけるべき基礎知識,Workplace & Human Resources,Learning & Development
4262842,2021-12-30,JP,Procreateで「線画アート」の描き方伝授！初心者でも出来る、インクブラシでビンテージ感あるイラストを描く方法,Design,Design Tools
3691620,2021-12-30,JP,直感！Pytorchで始める深層学習実装入門（実践編）,Data Science,Machine Learning
2285063,2021-12-30,JP,はじめてのC#入門【Visual Studio 2019対応】,Development,Programming Languages
3495894,2021-12-30,JP,実務で使えるDCDCコンバータの基礎知識,IT Operations,Hardware
3896376,2021-12-30,JP,Microsoft Power BI Desktop - Tips & Tricks,Data Science,Analytics
4240854,2021-12-30,JP,【続】Microsoft Power Automate Desktop 入門講座 ～ フォルダーアクション 特訓編 ～,Data Science,Analytics
4258024,2021-12-30,JP,【続】Microsoft Power Automate Desktop 入門講座 ～ PDF アクション 特訓編 ～,Data Science,Analytics
4251050,2021-12-30,JP,Microsoft Power Automate Desktop - Tips & Tricks,Data Science,Analytics
4347472,2021-12-30,JP,SharePoint Online 基礎マスターコース【社内ポータルを手軽にすばやく構築しよう！】,Office Productivity,Collaboration
4113406,2021-12-30,JP,一気に即戦力！学生と社会人新人のためのロジカルシンキング&ライティング講座,Leadership & Management,Communication
4265886,2021-12-30,JP,ネイティブの気持ちをハックしろ！認知文法に基づく英語学習　英文法HACKER【名詞編】（スライド資料つき）,Personal Development,Language Learning
4337732,2021-12-30,JP,現役コーチ＆教師が実践する「５つの教えない育て方」で、相手とチームが変わっていく,Leadership & Management,Management
4344998,2021-12-30,JP,アメリカ英語の発音を2時間でマスター 【2021年最新版】,Personal Development,Language Learning
4192254,2021-12-30,JP,【初心者のためのアバターアップロード最短コース！】 clusterカスタムアバター講座,Design,3D & Animation
4271430,2021-12-30,JP,Microsoft Teams基礎マスターコース【真のコミュニケーション力を身に付ける】,Office Productivity,Collaboration
4314294,2021-12-30,JP,After Effects【初・中級者】Duikを使った5種のキャラクター・アニメーション,Design,3D & Animation
3750888,2021-12-30,JP,アイデアを見つけ、形にする！DX時代の一般教養、デザイン思考入門講座,Leadership & Management,Strategy
4153548,2021-12-28,EN,Kafka fundamentals for java developers,Development,Software Engineering
4204358,2021-12-28,EN,NEW SAFe 5 Scrum Master (SSM) Practice Exams,IT Operations,IT Certifications
1463292,2021-12-28,EN,Liferay 7.0 CE and CMS Fundamentals - Crash Course,IT Operations,Software Engineering
4258836,2021-12-28,EN,"Motion Design with Figma: Animations, Motion Graphics, UX/UI",Design,Graphic Design
3598380,2021-12-27,EN,Learn Firebase Core with React,Development,Web Development
1562686,2021-12-27,EN,The Credit Analyst Training course,Finance & Accounting,Financial Modeling & Analysis
3366332,2021-12-27,EN,Salesforce Business Analyst Interviews Questions & Answers,IT Operations,IT Certifications
1711854,2021-12-27,EN,Angular Crash Course with Node and Java Backend,Development,Web Development
4344240,2021-12-26,EN,Cucumber BDD Masterclass with Selenium WebDriver & Java,Development,Software Testing
3686338,2021-12-24,EN,Solidworks Sheet Metal,IT Operations,Hardware
4398502,2021-12-24,EN,Atlassian Confluence Complete Course for Project Managers,Project Management & Operations,Project Management Tools
3520172,2021-12-23,EN,Object Oriented Programming - Basics to Advance (Java OOP),Development,Programming Languages
