Course ID,Date Added,Collection Language,Course Title,Category,Subcategory
4134980,2022-01-07,DE,"Englisch B2 - Vokabular, Grammatik und mehr!",Personal Development,Language Learning
1428694,2022-01-31,EN,Apple Mac Basics - The Complete Course for beginners,Office Productivity,Email & Productivity
3587022,2022-01-31,EN,Finish Your Research Proposal & Get Your Research Approved,Leadership & Management,Communication
1909536,2022-01-31,EN,Build Remote Procedure Calls (RPC) - from scratch in C,IT Operations,Operating Systems & Servers
4212154,2022-01-31,EN,Shopify Theme Development: Online Store 2.0 + TailwindCSS,Development,Web Development
4460318,2022-01-31,EN,Databricks Certified Associate Developer - Apache Spark 2022,IT Operations,IT Certifications
4507878,2022-01-31,EN,Bug Bounty - An Advanced Guide to Finding Good Bugs,IT Operations,Network & Security
4215896,2022-01-31,EN,Practical Phishing Assessments,IT Operations,Network & Security
4239746,2022-01-30,EN,"DoubleClick Campaign Manager (CM360) - Step by Step Tutorial
",Marketing,Digital Marketing
4347700,2022-01-30,EN,Mainframe DB2 Developer Training By Anil Polsani,Development,Development Tools
3711944,2022-01-29,EN,Investment Funds in Canada (IFC /IFIC) Tutorials,Finance & Accounting,Investing & Trading
3888936,2022-01-29,EN,Intro to Augmented Reality on the Web: WebXR and Three.js,Development,Web Development
1501104,2022-01-29,EN,JavaScript: The Advanced Concepts (2022 Update),Development,Programming Languages
3144412,2022-01-29,EN,The Ultimate Guide to Thinking Skills,Personal Development,Personal Growth
3925774,2022-01-29,EN,React & TypeScript Chrome Extension Development [2022],Development,Web Development
4108066,2022-01-29,EN,Duolingo English Test,Personal Development,Language Learning
4225152,2022-01-28,EN,Build a Chatbot on Salesforce using Einstein Bots,Development,Web Development
2508952,2022-01-28,EN,Healthcare 4.0 - Healthcare in the Industry 4.0,Leadership & Management,Strategy
965162,2022-01-28,EN,OOP Object Oriented Programming In PHP 7,Development,Programming Languages
4387504,2022-01-28,EN,"Recruitment, Interviewing, and Emotional Intelligence",Leadership & Management,Management
4516580,2022-01-28,EN,Get Amazing Results from Your Conversations at Work,Leadership & Management,Communication
2364336,2022-01-28,EN,SQL - The Query Writing Bootcamp [2019],Development,Database Design & Development
2467958,2022-01-28,EN,Learn Python Requests,Development,Web Development
1750606,2022-01-28,EN,Linux Master Class : Skill up to become a Linux professional,IT Operations,Operating Systems & Servers
2605732,2022-01-28,EN,Zero to Hero in Microsoft Excel: Complete Excel guide 2022,Office Productivity,Spreadsheets
3906218,2022-01-28,EN,Introduction to Online Community Management,Marketing,Digital Marketing
4261588,2022-01-27,EN,Microsoft Power Automate for Power Apps developers,Office Productivity,Collaboration
2849026,2022-01-27,EN,Learn Embarcadero Borland C++ Builder in 1 hour,Development,Programming Languages
1524500,2022-01-27,EN,Learn the ART of Substance Painter,Design,3D & Animation
4438776,2022-01-26,EN,PL-200: The follow-up Power Platform course to the PL-100,IT Operations,IT Certifications
2911510,2022-01-26,EN,KNX/ETS-Primer,IT Operations,Network & Security
4252046,2022-01-26,EN,Azure Databricks administration - ETL Workflow,IT Operations,IT Certifications
4464944,2022-01-26,EN,TOTAL: CompTIA Network+ (N10-008),IT Operations,IT Certifications
4069966,2022-01-26,EN,Ultimate Rust 2: Intermediate Concepts,Development,Programming Languages
189894,2022-01-26,EN,Build a Forensic Virtual Machine,Development,Software Testing
569154,2022-01-26,EN,How to Become a Programmer,Development,Programming Languages
4404930,2022-01-26,EN,Automated Software Testing with Playwright,Development,Software Testing
4272030,2022-01-26,EN,Let's Build a Go version of Laravel,Development,Web Development
1611012,2022-01-26,EN,Start-up valuation modeling for entrepreneurs and investors,Personal Development,Entrepreneurship
3439724,2022-01-26,EN,Master Python programming by solving scientific projects,Development,Programming Languages
3362814,2022-01-25,EN,Practice Bold Allyship and End Racism in the Workplace,Leadership & Management,Diversity Equity & Inclusion
3891360,2022-01-25,EN,Curso Completo de Edição de Vídeos no Celular Avançado,Design,Design Tools
4466266,2022-01-25,EN,Data Literacy for Business Professionals,Leadership & Management,Strategy
3770038,2022-01-25,EN,The Complete Modern OpenGL and GLSL Shaders Course for 2021,Development,Game Development
1669328,2022-01-25,EN,Practical OpenGL and GLSL shaders fundamentals with C++,Development,Game Development
4211028,2022-01-24,EN,Symfony 5 - The complete Guide for Beginners,Development,Web Development
