0,1717020,¡Aprende el Italiano Ahora! Un curso fácil y completo.,"Se trata de un curso donde un profesor de madrelengua italiana explica en español toda la gramática italiana, con ejemplos, ejercicios y pruebas.Aprenderás a hablar italiano desde la pronunciación del alfabeto, hasta un nivel A2/B1 de la lengua italiana.""Me llamo Dimitri Gozzoni, tengo 35 años y soy Italiano.

Soy profesor de lengua española en un colegio del norte de Italia, pero en el Web doy clases de Italiano a los hisponohablantes.

Me gusta viajar y jugar al voleibol. Me encanta estar con la gente y enseñar idiomas a las personas que quieren aprender.""",https://thincrs-one.udemy.com/course/italianoahora/,303,Language Learning,61,61,Dimitri Gozzoni,No hace falta ningún conocimiento previo. El curso empieza desde Zero!,El curso empieza desde zero y os lleva a un nivel A2/B1 de la lengua italiana.,es_LA,False,Personal Development,Language Learning,0,0,True,Spanish [Auto],303
1,2360128,¡Destruye la procrastinación!,"Todos en algún momento hemos tenido algún proyecto, tarea o actividad que sabemos que es importante para nosotros, pero que por alguna razón no somos capaces de terminar o a veces incluso, ni siquiera de comenzar.En esos momentos decimos frases como: “Mañana comienzo”, “Hoy no es un buen día”, “No me siento inspirado en este momento”, “Primero voy a descansar un poco y después comienzo con toda la energía”, “Organizo todo primero y después hago esto”, “Un capítulo más de la serie y ya me voy a trabajar” … y así muchos más.Todos los que hemos procrastinado, no decidimos simplemente hacerlo, sin embargo, estas frases son un reflejo de algo que sucede dentro de nosotros cada vez que pensamos en dicha actividad a la cual le estamos escapando.¿Por qué hacemos esto?Muchas personas afirman, que esto se debe a que nosotros no somos capaces de gestionar o administrar nuestro tiempo correctamente y por eso siempre dejamos las cosas para último momento, lo cual no puede estar mas lejos de la realidad.El procrastinador no es simplemente una persona que no sabe manejar su tiempo sino una persona que no sabe manejar sus emociones. Es difícil de creer a primera vista, pero son nuestros miedos, limitaciones y creencias limitantes respecto a nosotros mismos y al mundo que nos rodean que nos impiden realizar las actividades que sabemos que tenemos que hacer para obtener los resultados que queremos alcanzar.En este curso, nos enfocaremos justamente en reconocer en primera instancia, que es realmente la procrastinación, de tal manera que logremos identificar cuáles son los factores personales que nos están llevando a procrastinar y a dejar de lado lo que consideramos importante para nuestra vida.Teniendo esto claro, nos enfocaremos en crear hábitos que nos permita culminar nuestras tareas más fácilmente y ser más productivos en cada una de las áreas de nuestra vida en las cuales nos hemos fijado una meta concreta.Este curso ha sido creado de un procrastinador para los procrastinadores, de tal manera que no se convierta en un curso que repite libros de texto y de autoayuda, que ofrecen técnicas exprés que a largo plazo no tienen utilidad.Este curso es para aquellas personas comprometidas en crear un cambio contundente y radical en su vida, eliminando aquellos hábitos que no les permiten avanzar en su vida y crear aquellos que los lleven mucho más lejos de las metas que se han propuesto.Si estás dispuesto a trabajar en ti, ¡Bienvenido al curso!",https://thincrs-one.udemy.com/course/destruye-la-procrastinacion/,366,Secundaria Desarrollo Personal Personal Growth,69,64,David Bejarano,"Tener dificultades para comenzar ciertas actividades, tareas, procesos o metas. 
-Tener dificultades para culminar ciertas actividades, tareas, procesos o metas. 
-Sentirse frustrado con la falta de productividad en su día a día. 
-Querer transformar sus resultados personales y hábitos negativos.","Reconocer que es realmente la procrastinación 
-Descubrir las raices de su propia procrastinación 
-Entender que la procrastinación no es un problema de gestión del tiempo sino de emociones. 
-Como podemos vencer miedos, limitaciones e inseguridades que nos impiden hacer aquello que sabemos que debemos y queremos hacer. 
-Destruir constumbres y malos hábitos y mejorar tu productividad personal. 
-Crear hábitos empoderadores que nos permiten alcanzar las metas que nos proponemos. 
-Crear la motivación correcta para lograr incluso las actividades mas tediosas de nuestro día a día.",es_LA,False,Personal Development,Personal Growth,0,0,True,Spanish [Auto],360
2,3709202,¡El Curso Definitivo de ZOOM 2022! ¡De básico a Experto!,"¿Quieres dominar ZOOM para usarlo como experto y tienes poco tiempo?¡Este curso es justo lo que necesitas! Zoom es la mejor aplicación que puedes usar para dar tus clases, tener reuniones o videoconferencias y aunque puede ser que ya lo uses, te garantizamos que, tras ver este curso, lo podrás dominar mucho mejor, aprenderás a dominar funciones que tal vez ni conocías en ZOOMTe enseñaré desde lo más básico hasta puntos avanzados para tener una clase dinámica y profesional. Aun si no usas zoom para dar clases, podrás usarlo en cualquier contexto.Sin la menor duda, este es el Curso Definitivo de ZOOM para Docentes, Maestros y Estudiantes 2022, aprenderás a tu ritmo, sin preocupaciones y en cuestión de horas, serás un experto.APRENDERÁS:· Los fundamentos de Zoom· Las novedades de Zoom en 2021· Las diferencias entre zoom y otras plataformas· Cómo usar Zoom para crear clases y conferencias cómo experto.· Cómo controlar la seguridad y la privacidad en Zoom· Como combinar tus diapositivas de PowerPoint de forma interactiva· Cómo usar herramientas especiales para hacer interactiva la clase.· Trucos para controlar a los alumnos desde Zoom· Opciones avanzadas de seguridad en Zoom· Cómo realizar videoconferencias con un grupo determinado de personas.· Cómo programar reuniones, clases o videoconferencias con la herramienta Zoom.· Las diferentes formas de invitar a tus alumnos a la clase.· Cómo realizar chats desde zoom.· Las diferentes formas de compartir archivos con tus alumnos.· La mejor forma de compartir la pantalla de tu computadora o laptop con otros participantes.· Cómo compartir una pizarra virtual en tus clases o reuniones en zoom.· Cómo compartir audios y videos en tus reuniones, clases y videoconferencias en Zoom· Cómo grabar automáticamente tus reuniones, clases, videoconferencias.· Cómo compartir con otras personas los videos de las reuniones.· Cómo usar zoom desde Android en celulares y tabletas.· Cómo solucionar problemas comunes en zoom· Tips para tener un mejor audio y video en ZoomHemos estructurado este curso de forma en que sea fácil de entender, práctico, y a la vez muy completo.",https://thincrs-one.udemy.com/course/curso-definitivo-de-zoom-para-docentes/,230,Collaboration,57,57,Jahaziel Guzmán Jiménez,"Tener una Computadora 
-Tener Conexión a Internet","Trucos para controlar a los alumnos desde Zoom 
-Cómo usar herramientas especiales para hacer interactiva la clase. 
-Los fundamentos de Zoom 
-Las novedades de Zoom en  2021 
-Las diferencias entre zoom y otras plataformas 
-Cómo usar Zoom para crear clases y conferencias cómo experto. 
-Cómo controlar la seguridad y la privacidad en Zoom 
-Como combinar tus diapositivas de PowerPoint de forma interactiva 
-Opciones avanzadas de seguridad en Zoom 
-Cómo realizar videoconferencias con un grupo determinado de personas. 
-Cómo programar reuniones, clases o videoconferencias con la herramienta Zoom. 
-Las diferentes formas de invitar a tus alumnos a la clase. 
-Cómo realizar chats desde zoom. 
-Las diferentes formas de compartir archivos con tus alumnos. 
-La mejor forma de compartir la pantalla de tu computadora o laptop con otros participantes. 
-Cómo compartir una pizarra virtual en tus clases o reuniones en zoom. 
-Cómo compartir audios y videos en tus reuniones, clases y videoconferencias en Zoom 
-Cómo grabar automáticamente tus reuniones, clases, videoconferencias. 
-Cómo compartir con otras personas los videos de las reuniones. 
-Cómo usar zoom desde Android en celulares y tabletas. 
-Cómo solucionar problemas comunes en zoom 
-Tips para tener un mejor audio y video en zoom",es_MX,False,Office Productivity,Collaboration,0,0,True,Spanish [Auto],230
3,2324644,¿Cómo hacer un Plan de Ventas?,"En este curso ""¿Cómo hacer un Plan de Ventas?"" aprenderás a manejar todos los conceptos que nos necesarios para poder diseñar y construir un Plan de Ventas para tu negocio o proyecto emprendedor, que sea robusto y, al mismo tiempo, lo suficientemente flexible como para adaptarse a las condiciones cambiantes de un mercado competitivo.Conocerás las razones que justifican la creación de un plan de ventas y el cómo la correcta planificación comercial te permitirá alcanzar los objetivos de crecimiento de tu negocio, así como también los criterios y métodos recomendados para el establecimiento y cálculo de una meta de ventas que sea relevante para ti y para tu proyecto.Finalmente cubriremos las áreas que debes tomar en cuenta dentro de tu Plan de Ventas para aprovechar todas y cada una de las oportunidades de negocio que el mercado te ofrece en cuanto a la generación de más oportunidades y, para terminar, la fase de ejecución de tu Plan de Ventas, destacando la secuencia de acciones necesarias para garantizar que los resultados son positivos y consistentes en el tiempo.Creado con un lenguaje sencillo, directo y muy cercano, el curso ""¿Cómo hacer un Plan de Ventas?"" consta de 5 unidades, cada una de ellas con soporte audiovisual, el contenido escrito para que puedas leerlo también en detalle, un archivo PDF de apoyo y el correspondiente cuestionario de revisión para afianzar los conceptos introducidos en cada clase.Este curso representa una pequeña inversión de tiempo y dinero que tendrá, con seguridad, un profundo impacto en la gestión comercial de tu proyecto o negocio.",https://thincrs-one.udemy.com/course/como-hacer-un-plan-de-ventas/,84,Sales Skills & Tools,10,5,Joel Pinto Romero,"Tener el deseo de controlar el ritmo de ventas de tu negocio. 
-Querer aprender las áreas que se pueden aprovechar para generar nuevas oportunidades de negocios. 
-Tener conocimientos básicos en el manejo de hojas de cálculo y la elaboración de gráficos estadísticos.","A través de este curso aprenderás una forma sencilla de hacer un Plan de Ventas para tu negocio o proyecto emprendedor. 
-Aprenderás a hacer el cálculo numérico de tu meta de ventas. 
-Conocerás las características que debe tener una meta de ventas para considerarla fiable y eficiente. 
-Conocerás las áreas de trabajo que deberás tomar en cuenta al construir tu Plan de Ventas. 
-Conocerás los recursos que serán necesarios para ponerlo todo en marcha y una secuencia óptima para la ejecución de tu Plan de Ventas.",es_ES,False,Sales,Sales Skills & Tools,5,0,True,Spanish [Auto],46
4,3064002,¿Cómo vender en Amazon con éxito? + Métricas Digitales,"No cabe duda que el 2020 sea probablemente el año en que el Comercio Electrónico termine de despegar en la región latinoamericana. En este año y por razones desafortunadas, COVID-19, los consumidores se volcaron al canal online, razón por la cual empresas como Mercado Libre anunciaron 70% de incremento en sus ventas.Para las empresas, ya no es opcional contar con una estrategia de comercio electrónico, y comenzar a vender en Marketplaces, es el primer paso de toda la transformación del canal de comercialización tradicionalVender en Marketplaces, es relativamente fácil, ya que el Marketplace nos facilita mucho las cosas, desde muchas dimensiones diferentes:Los Marketplaces tienen una gran cantidad tráfico.Cuenta con herramientas de marketing y promoción para generar demandas.Nos brinda pasarelas de pago y prevención de fraudes entres otras cosas.Logística, como Amazon Prime o Mercado Envío Full.Y sobre todo tiene la base de intenciones de compra del consumidor.Si bien es una tarea sencilla, si la comparamos con lo que implica lanzar un Sitio de Comercio Electrónico propio, hay aspectos fundamentales a considerar así como consideraciones técnicas, y herramientas que son necesarias para tener éxito, ya que la oferta y la competencia es muy intensa en los marketplacesEn este curso abordaremos la problemática de vender en marketplaces con una metodología probada de 9 pasos claves, que explicaremos a lo largo de las 17 lecciones, incluyendo como hacer publicidad en Amazon con PPC o Sponsored Products, que herramientas utilizar para estimar la demanda de un producto o estudiar a la competencia, como diseñar y generar los contenidos correctos para los consumidores descubran nuestra oferta.Este curso incluye un módulo adicional sin costo, con 14 lecciones adicionales en Métricas Digitales Comerciales, que no sólo pueden ayudarnos a entender los resultados de nuestra campaña de PPCen Amazon, sino también a definir, interpretar, y analizar las métricas digitales de cualquier proyecto de comercio electrónico, y tomar decisiones de optimización del negocio.",https://thincrs-one.udemy.com/course/venderenamazonmexico/,303,Search Engine Optimization,31,31,Javier Dorrego,Conocimientos básicos de Marketing,"¿Que son los marketplaces? ¿Cuáles son los Marketplaces más importantes de México? 
-¿Por qué vender en Marketplaces? 
-¿Cómo plantear una estrategia correcta de marketplaces? 
-¿Cómo vender en Amazon México? 
-¿Cuales son los pasos para crear una estrategia exitosa en Amazon? 
-¿Qué herramientas puedo utilizar para garantizar el éxito? 
-¿Qué herramientas usar para estimar la demanda y diseñar nuestro Product Listing en Amazon? 
-¿Cómo lanzar un producto en Amazon México? 
-¿Cómo definir los indicadores digitales de éxito de un proyecto? 
-¿Cómo interpretar las métricas digitales? 
-¿Cómo tomar decisiones de optimización en base a las métricales?",es_ES,False,Marketing,Search Engine Optimization,0,0,False,,303
5,1922984,.NET 5 & .NET Core 3.1 Web API & Entity Framework Jumpstart,"The .NET framework is getting better and better and more important in the web development world nowadays.Almost every request I get for new web development projects is asking for knowledge in .NET, including Web API and Entity Framework Core.So, knowing the fundamentals of back end web development with .NET can be highly beneficial to your career. And that’s where this course comes in.In a short period of time, you will learn how to set up a Web API, make restful calls to this Web API and also save data persistently with Entity Framework Core, Code-First Migration, a SQL Server  SQLite database, and all three types of relationships in this database.We will get right to the point, you will see every single step of writing the necessary code and by the end of this course, you will have what it takes to say ‘yes’ to all the .NET project requests from any recruiter.The only tool you need in the beginning is Visual Studio Code which is available for free.We will use Visual Studio Code for our implementations and make calls to the Web API with the help of Swagger UI - an interface that lets you consume the API out-of-the-box, thanks to the latest version of the .NET framework.Later, we will also utilize SQL Server Express and the SQL Server Management Studio to manage our database. These are also available for free.Later, we will utilize the free SQL Server Express with SQL Server Management Studio to manage our database. We will also have a quick look at SQLite, so that you know how to use any database you want.The back end application we’re going to build is a small text-based role-playing game where different users can register (we’re going to use JSON web tokens for authentication) and create their own characters like a mage or a knight, add some skills and a weapon, and also let the characters fight against each other to see who is the best of them all.What You Will LearnIntroductionCreate your first Web API call in less than 10 minutesInitialize a Git repository for your source controlWeb APIThe Model-View-Controller (MVC) patternCreate models and controllersAttribute routing (with parameters)The HTTP request methods GET, POST, PUT  DELETEBest practices for your Web API like a ServiceResponse class and Data-Transfer-Objects (DTOs)Map your models with AutoMapperEntity Framework CoreObject-Relational-MappingCode-First MigrationSQL Server ExpressHow to use a DataContext and a proper ConnectionStringAll previous HTTP requests with Entity Framework Core to save your data in a SQL Server  SQLite databaseData Seeding: Insert data with a migration programmaticallyAuthenticationToken Authentication with JSON Web TokensClaimsSecure controllers with the Authorize attributeAdd roles to the usersAdvanced Relationships with Entity Framework CoreOne-to-one relationshipsOne-to-many relationshipsMany-to-many relationshipsInclude entities with Entity Framework CoreGet the proper relations between entitiesMore Than Just CRUDStart automatic fightsFilter and order RPG characters by their highscoreYour InstructorMy name is Patrick and I will be your instructor for this course. I’m a web developer for over a decade now, I have worked for big corporations and small teams, as an employee and a contractor and I just love to see the way Microsoft is going with .NET and how important it gets day by day.To this date, I was able to run seven courses on web development here on Udemy about ASP.NET, Blazor, single-page applications, Angular, and DevOps, with a total of over 50.000 unique students and more than 5.000 reviews.If you have any questions, feel free to connect.And if you still have any doubts, you have a 30-day money-back guarantee, no questions asked.So, I hope you’re ready for your new skills and your new projects! ;)I’m looking forward to seeing you in the course!Course image: practicuum/Shutterstock",https://thincrs-one.udemy.com/course/net-core-31-web-api-entity-framework-core-jumpstart/,650,Web Development,147,143,Patrick God,You should have basic knowledge of C#.,"Build a complete .NET 5 or .NET Core 3.1 back-end with Web API, Entity Framework Core, SQL Server & SQLite 
-Implement Token Authentication with JSON Web Tokens & Roles 
-Utilize all three types of relationships in your database: one-to-one, one-to-many, many-to-many 
-Use the HTTP request methods GET, POST, PUT & DELETE 
-Implement best practices that are used in the real world like a proper structure for your Web API, Dependency Injection, asynchronous calls with async/await and Data-Transfer-Objects (DTOs) 
-Use LINQ to filter, sort, map, select and access your entities. 
-Seed data with code-first migrations programmatically 
-Migrate from .NET Core 3.1 to .NET 5",en_US,False,Development,Web Development,0,0,True,English [Auto],649
6,876544,.NET 5 Web API & Entity Framework Crash Course,".NET 5 is the future.It will combine the old .NET framework with .NET Core and that's why it’s about time to update this course with the latest version of .NET.You will learn the crucial stuff about web development with Web API and Entity Framework in .NET 5 in no time so that you're able to join new projects and companies who are craving for .NET developers like you very soon.With the example application, we're going to build you will be able to create, read, update, and delete contacts. We will use people you might even know, like Peter Parker or Tony Stark.The tools we’re going to use are the .NET SDK, of course, together with Visual Studio to write our code, Postman to make our REST calls and SQL Server Express for our database.Everything is available for free! So you already have everything you need to start developing with .NET 5.A few minutes into the course, you will already make your first Web API call.After that you create your own model and controller to make use of the Model-View-Controller pattern and implement all CRUD operations, meaning create, read, update and delete with the corresponding HTTP methods GET, POST, PUT and DELETE.Then you will make your data persistent with the help of the object-relational mapper Entity Framework and code-first migration.With all that knowledge, you are ready to conquer any .NET 5 back end application.What You Will LearnIntroductionDownload  install the .NET 5 SDK, Visual Studio 2019 Community Edition  PostmanCreate your first Web API call within the first minutesInitialize a Git repository for your source controlWeb APIThe Model-View-Controller (MVC) patternCreate models and controllersAttribute routing (with parameters)All CRUDoperations (Create, Read, Update, Delete)The HTTP request methods GET, POST, PUT  DELETEEntity FrameworkObject-Relational-MappingCode-First MigrationSQL Server ExpressHow to use a DataContext and a proper ConnectionStringAll previous HTTP requests with Entity Framework to save your data in a SQL Server databaseYour InstructorMy name is Patrick and I will be your instructor in this course. I’m a web developer for over a decade now, I have worked for big corporations and small teams, as an employee and a contractor and I just love to see the way Microsoft is going with .NET and how important it gets day by day.To this date, I was able to run seven courses on web development here on Udemy about NET Core, single-page applications, Angular, and DevOps with a total of almost 50.000 unique students and more than 4.000 reviews.If you have any questions, feel free to connect.And if you still have any doubts, you have a 30-day money-back guarantee, no questions asked.So, I hope you’re ready for your new skills and your new projects! ;)I’m looking forward to seeing you in the course!",https://thincrs-one.udemy.com/course/aspnet-web-api-2-hands-on/,174,Web Development,50,48,Patrick God,You should have a little experience in C#,"Build RESTful web services with .NET 5 Web API 
-Object-relational mapping with Entity Framework 
-Save data persistently in a SQL Server database 
-Entity Framework Code-First Migrations 
-Use Postman to test your web service calls 
-All CRUD operations (Create, Read, Update, Delete) 
-HTTP Request Methods GET, POST, PUT, DELETE",en_US,False,Development,Web Development,0,0,True,English [Auto],174
13,2795210,.NET Core C# EF y MVC: Crea una WebApp completa desde cero,"¡Bienvenido al curso!ASP.NET Core 3.1 / C# / MVC / Entity Framework / JQuery / HTML5En este curso aprenderás a programar en el lenguaje C# y sabrás como implementar el patrón Modelo/Vista/Controlador con MVC, mediante el entorno más utilizado hoy en día, Visual Studio Code.Vamos a instalar Visual Studio Code con sus extensiones, para trabajar y gestionar un proyecto .NET Core y MVC.Nuestro primer proyecto será de tipo End-to-end, para garantizar que nuestra estructura del sistema funcione como esperamos.Con Entity Framework y su herramienta Migrations crearemos nuestra Base de Datos en SQL Server.Sabrás como manipular información de nuestras tablas en SQLServer mediante LinQCrearemos desde cero Modelos, Vistas y Controladores.Vamos a desarrollar Métodos (End Points) en cada Controlador, con el objetivo de manipular la información de nuestro sistema.También aprenderemos a utilizar la herramienta aspnet-codegenerator para crear nuestros Controladores y Vistas automáticamente.Implementaremos Data Annotations para validar formularios y establecer anotaciones de propiedades.Vamos a definir Restricciones de tipo Foreign Key mediante Entity Framework, y analizaremos su resultado a través del Diagrama de Entidad Relación.Aprenderás a utilizar la herramienta Debugger de Visual Studio Code.Con MaterializeCSS vamos a incorporar elementos más profesionales a nuestra aplicación, haciendo que tu diseño se destaque del resto.Utilizaremos el plugin FullCalendar con Jquery y Ajax, para diseñar nuestra Vista de Turnos.Crearemos un Login de usuario con HttpContext y SHA2_256 aplicando seguridad a cada uno de nuestros endpoints.En una sección exclusiva sobre seguridad, aprenderás que es un AntiForgery Token y como se implementa.Como sección final, publicaremos nuestra app en un entorno de producción con SmarterASP.NETEn este curso aprenderás técnicas de programación avanzadas que te permitirán desarrollarte en el ámbito profesional del área de desarrollo tecnológico, destacándote del resto.Si te haces estas preguntas, este curso te ayudaráTengo algunos conocimientos de programación orientada a objetos, pero me gustaría aprender más.En mi trabajo quieren migrar el antiguo sistema por uno más moderno desarrollado en C# y aprender me vendría genial.Tengo algunas dudas al momento de programar y no sé por donde comenzar.¿Qué tipo de sistema vamos a desarrollar en el curso?Vamos a diseñar y programar un Sistema de Turnos para Pacientes y Médicos con autenticación de usuario.Tengo algunos conocimientos de C# ¿porqué debería tomar este curso?En el curso aprenderás todos los conceptos relacionados al patrón MVC, por lo que se requiere un conocimiento básico de programación en C#.No obstante, explicamos paso a paso cada linea de código escrita, a fin de que puedas entender todo el proceso de desarrollo.Además, el curso se mantiene actualizado constantemente con nuevas clases y contenidos.¿Hay secciones dedicadas a la práctica?Todo el curso cuenta con explicaciones y ejercicios prácticos.¿Como podré interactuar con los Instructores?Queremos que cada alumno avance y aprenda los conceptos de manera clara.Nuestro objetivo es que aprendas .NET Core C# HTML5 MaterializeCSS y MVC a nivel Avanzado.Vamos a seguir paso a paso tu proceso de aprendizaje y estaremos cerca para ayudarte con cualquier duda que pueda surgir, con el fin de que puedas lograr el objetivo.No dudes en escribirnos, desde aquí o por el grupo exclusivo de Facebook.Contenido actualizado todos los días.Acceso de por vida a todo el contenido nuevo.Soporte en línea desde la plataforma Udemy.Acceso al grupo exclusivo de alumnos, donde se comparten dudas y material de aprendizaje.Todas las clases están disponibles en Full HD 1080¡Te esperamos!",https://thincrs-one.udemy.com/course/netcore-mvc/,898,Programming Languages,164,155,"Mariano Puglisi 
-Fernando Burza","Se requieren conocimientos básicos de programación orientada a objetos, HTML y Javascript. 
-Una PC o portátil. Manejo de Windows a nivel básico. 
-El software es gratuito y los instalaremos juntos en el curso. 
-Todos los recursos y herramientas están disponibles.","Instalaremos Visual Code y sus extensiones para gestionar nuestro proyecto .NET Core 3.1 
-Aprenderás a programar EndPoints en el backend con C# 
-Aprenderás a implementar MVC el patrón Modelo/Vista/Controlador en tus proyectos. 
-En una sección exclusiva sobre seguridad, aprenderás que es un AntiForgery Token y como se implementa. 
-Implementaremos Data Annotations para definir validaciones de formulario y anotaciones en propiedades. 
-Sabrás como manipular información de nuestras tablas en SQL Server mediante LinQ 
-Con MaterializeCSS, vamos a incorporar elementos más profesionales y modernos a nuestro proyecto, haciendo que tu diseño se destaque del resto. 
-Aprenderás a utilizar la herramienta Migrations Tool una parte de Entity Framework, para desarrollar en modo Code First. 
-Crearemos desde cero Modelos, Vistas y Controladores. 
-Implementaremos un Login en nuestro sistema con HttpContext y SHA2_256",es_ES,False,Development,Programming Languages,0,0,False,,897
14,4062064,.NET Core Microservices - The Complete Guide (.NET 6 MVC),"Is your project or your team suffering from the drawbacks of a Monolithic application? or are you one of those developers who have heard the buzz word about Microservices but you don't know where to start from? or are you wondering if a microservices architecture is the right fit for your .NET project? or are you tired of other courses where they give you a good start but halfway through the course you wonder what is going on and nothing makes sense!If so, then this is the perfect course for all of your questions!You will learn the foundational elements of microservices by incrementally building a real microservices based application with .NET 6, step by step. We will be building multiple microservices and and for authentication and authorization we will be using Identity Server!Iwill guide you through the basic blocks of Identity Server and how to get it up and running!Learn how to build Microservices in the .NETworld using .NETAPI, Ocelot, Identity Server, Entity Framework Core and clean architecture using the latest .NET 6!You will develop e-commerce modules over Product, Shopping Cart, Ordering, Payment and Email microservices with SQLServer communicating over Azure Service Bus and using Ocelot API Gateway. You can find Microservices Architecture and Step by Step Implementation on .NET which step by step developing this course with extensive explanations and details.Along with this you’ll develop following microservices and items:Product MicroserviceIdentity ServerMicroserviceCoupon MicroserviceShopping CartMicroserviceOrder MicroserviceEmail MicroservicePayment MicroserviceOcelot Gateway ProjectMVCWeb ApplicationOn top of all these, you'll learn how to write quality code, not just how to build microservices. In this course you will see the demonstrating a layered application architecture with best practices.Is this course for you?If you are the developer who likes to get hands dirty with programming this is the perfect course!Ilove to code from scratch and explain the basics, so that is a main considering for this course as well!This course is very practical, about 90%+ of the lessons will involve you coding along with me on this project.By the end of this course, you will have an application with 7 fully working .NET based microservices but most importantly you will understand every line of code, how the microservices work together and why we ended up with the final implementation.",https://thincrs-one.udemy.com/course/net-core-microservices-the-complete-guide-net-6-mvc/,691,Web Development,182,183,"DotNet Mastery 
-Bhrugen Patel",".NET Core CRUD experience 
-.NET API CRUD experience 
-Entity Framework Core CRUD experience 
-Visual Studio 2019 / 2019 Preview (if using .NET 6) 
-SQL Server Management Studio 2018",".NET 6 Microservices Architecture 
-Implementing 7 microservices using .NET 6 
-.NET API with Authentication and Authorization 
-Identity Server integration 
-Role based authorization with Identity Server 
-Async and Sync communcation between Microservices 
-Azure Blob Storage basics 
-Azure Service Bus - Topics and Queues 
-Gateways in Microservices 
-Implementing Ocelot gateway 
-Swagger Open API implementation 
-N-Layer implementation with Repository Pattern 
-ASPNET Core Web Application with Bootstrap 5 
-Entity Framework Core with SQL Server Database",en_US,False,Development,Web Development,0,0,True,English [Auto],691
17,2027448,"""Breath is Life"" Breathwork & Meditation course","The most extensive breathwork course available on Udemy. Get a profound understanding of breathwork and meditation and learn how to use your breath like a wonderful tool to start controlling all systems in your body. Take care of your mind and how to take the awareness to the Soul level and realize your true nature.  (I believe these techniques should be available for everybody, money or no money. If you have no money to do the course you can PM me and we will find a solution)                       "" Proper breathing is the foundation of healthy living ""        This breathing course is guided by founder of the Life Awareness Project, Michaël Bijker(This course is mostly the same course as the 'Breath is Life' Pranayama Meditation course)In this wonderful Yogic breathing (Pranayama), breathwork and meditation course you will learn how to use the power of the breath to:Clear you mind and sharpen your awarenessIncrease energy, health and mental balanceEnergize or calm your body and mindBecome aware of the deeper layers of the selfTechniques learned in this Pranayama breathwork course:Explanation about meditation and how to use the breath to still the mind and sharpen the awarenessEnergy and consciousness awakening breathing techniqueYogic Breathing - Open up the energy systemsOcean breathing (Ujjayi Pranayama) - Create inner silenceBreath of fire (Bhastrika Pranayama) - Awaken the fire withinEnergy Locks (Bandhas)Skull cleansing breath - Cleaning of the systems in mind and bodyKaki mudra Pranayama - Focusing the mindEnergy cleansing technique (Nadi Shodhana/ Anulom Vilom Pranayama)Cosmic Breathing (Pranava Pranayama) Bhramari PranayamaUdgeeth Pranayama - Connecting with a higher SelfGuided meditations, breathing and mind training sessionsBandhas (Body/ energy locks)     This course will give you the tools to tap into the power of the mind and change your life.Benefits of this breathwork courseBoost your immune systemA boost in energy levelsDeep  restorative sleepBrain empowerment  better focusRelieves stress, anxiety  depressionHeal mind  bodyWho is this course for?For complete beginners and advanced practitioners.A perfect course for Yoga practitioners  teachers, Meditation practitioners  teachers to deepen their practice.Essential for athletes, athletes, healers, life coaches.Treating insomnia, depression, overthinking, low energy, addiction restlessness and for those that want to train the mind and awareness.Everyone that wants to get stronger, healthier and happierWhat is included in this pranayama breathwork course?VIDEO TUTORIALS - Access to over 60 online guided breathwork and mind training sessions (over 15 hours of HD video material) accessible anywhere at any time.GUIDEDMEDITATIONBREATHWORKSESSIONS - A great variety of different pranayama and meditation sessions for different purposes.WARMUP  EXERCISE VIDEOS - Choose from several physical exercise videos to open up, strengthen and prepare the body for the breathing practices.LIFETIME ACCESS - Learn these wonderful mind training and breathing techniques at your own pace, you will have a lifetime access to this course, so take your time.BRAIN ENHANCING AUDIO - 3 audio sessions for healing, sleeping and pineal gland activationCERTIFICATION UPON COMPLETION - When you complete this online Pranayama course, you will receive a certificate of completion.                           ",https://thincrs-one.udemy.com/course/breathing/,1016,Stress Management,76,74,Michaël Bijker,A breathing/ breathwork course for people for anyone wanting to learn profound breathing techniques. From people that are new to breathing practices to yoga instructors or professional athletes. A breathing course for everyone.,"Learn to use the breath to relax, focus and bring health and vitality in your life. Use the breath as a tool to become a master of mind and body 
-Learn basic and advanced breathwork and meditation techniques. Tap into the power of your breath!",en_US,False,Personal Development,Stress Management,0,0,True,English [Auto],1015
